년도,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
,,이용자수,이용건수,이용금액,이용자수,이용건수,이용금액,이용자수,이용건수,이용금액,이용자수,이용건수,이용금액
업종명,성별,,,,,,,,,,,,
기타 주점업,알수없음,15874.0,16798.0,4337251581.0,14550.0,15458.0,3912352363.0,10644.0,11225.0,2784645899.0,3162.0,3348.0,883828610.0
기타 주점업,여성,11680.0,12329.0,1882672848.0,10805.0,11388.0,1740849775.0,8303.0,8765.0,1341526333.0,2316.0,2445.0,401696700.0
기타음식료품위주종합소매업,남성,577839.0,654745.0,23692721526.0,614583.0,701091.0,24808991648.0,704428.0,805888.0,29855077509.0,516140.0,588408.0,22705052648.0
기타음식료품위주종합소매업,알수없음,140084.0,173107.0,12150278533.0,154522.0,192050.0,13258387167.0,162373.0,200507.0,14145369278.0,126120.0,155609.0,10961233462.0
기타음식료품위주종합소매업,여성,467877.0,533059.0,19512034057.0,518396.0,595659.0,21066311777.0,594288.0,683176.0,25242772364.0,441486.0,504503.0,19519154106.0
내항 여객 운송업,남성,53903.0,55832.0,1681095554.0,58297.0,60237.0,1995882900.0,47168.0,49031.0,1429696260.0,43367.0,45411.0,1263612350.0
내항 여객 운송업,알수없음,10474.0,12159.0,740947300.0,11009.0,13065.0,855279900.0,9523.0,11724.0,502563630.0,9023.0,11312.0,442507350.0
내항 여객 운송업,여성,47038.0,47882.0,1415219150.0,50581.0,51503.0,1635411200.0,36986.0,37839.0,1109798180.0,34998.0,35887.0,987617200.0
마사지업,남성,1051.0,1125.0,128923500.0,1346.0,1440.0,178703210.0,1279.0,1379.0,160521000.0,963.0,1017.0,120124110.0
마사지업,알수없음,182.0,186.0,32208000.0,303.0,318.0,53803000.0,375.0,390.0,73531000.0,336.0,357.0,63683000.0
마사지업,여성,284.0,310.0,28556510.0,270.0,284.0,29894710.0,224.0,237.0,22541250.0,274.0,286.0,29209210.0
면세점,남성,550403.0,822727.0,54376136029.0,516644.0,769089.0,51926576688.0,389555.0,589162.0,44435508625.0,303003.0,458714.0,38129391240.0
면세점,알수없음,99346.0,159962.0,16461739685.0,101515.0,161736.0,16484630904.0,79241.0,136638.0,17969312088.0,58257.0,101336.0,12559562018.0
면세점,여성,459419.0,702415.0,49208121131.0,447666.0,673408.0,48258759604.0,300852.0,459480.0,36505429217.0,245286.0,370287.0,31734005083.0
버스 운송업,남성,1.0,2.0,1624000.0,,,,,,,,,
버스 운송업,알수없음,27.0,36.0,53455000.0,,,,,,,,,
비알콜 음료점업,남성,607836.0,660880.0,6490949094.0,669308.0,735684.0,6922266181.0,751698.0,840443.0,7227764388.0,567145.0,636945.0,5500355180.0
비알콜 음료점업,알수없음,132792.0,147720.0,2547397436.0,137163.0,154129.0,2651477639.0,136910.0,155522.0,2569455034.0,112425.0,127215.0,1989891416.0
비알콜 음료점업,여성,728422.0,792844.0,7593089499.0,791746.0,868282.0,8033609116.0,804376.0,891847.0,7814593703.0,571939.0,634411.0,5748125475.0
빵 및 과자류 소매업,남성,592801.0,633673.0,8472945911.0,601630.0,643416.0,8515151103.0,516017.0,551364.0,7598393594.0,397574.0,426105.0,6432617310.0
빵 및 과자류 소매업,알수없음,150003.0,165581.0,5392734631.0,152121.0,168331.0,5589178377.0,130382.0,143967.0,4685945837.0,104716.0,116216.0,3489396559.0
빵 및 과자류 소매업,여성,800152.0,858086.0,11012971669.0,816263.0,875913.0,11160945158.0,691427.0,739364.0,9746987900.0,532657.0,570547.0,8287188195.0
서양식 음식점업,남성,739613.0,803198.0,19263644721.0,863029.0,938692.0,20669388876.0,840505.0,912499.0,19874642601.0,726145.0,793035.0,16207135615.0
서양식 음식점업,알수없음,173001.0,192318.0,8973786088.0,202544.0,225762.0,9631070180.0,196482.0,217934.0,7879416155.0,178600.0,201626.0,6633975219.0
서양식 음식점업,여성,886172.0,965155.0,19152551296.0,1031564.0,1123189.0,21552218012.0,964415.0,1046063.0,20108567128.0,834834.0,912070.0,17033573109.0
수산물 소매업,남성,141715.0,155209.0,10981378306.0,151824.0,167729.0,10947693456.0,142498.0,156409.0,10310879794.0,118963.0,130019.0,8512420523.0
수산물 소매업,알수없음,45670.0,51449.0,11060831533.0,46415.0,52438.0,11321471033.0,43561.0,49377.0,9862885956.0,37508.0,42403.0,8714198814.0
